borobox,box_type,location,zip,borough,communitydistict,citycouncil,latitude,longitude,location_point,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,zipcode,incident_volume,facname,factype,address,boro
X2781,ERS,WEBSTER AVE & CLAREMONT PWAY,10457.0,BRONX,BX03,16.0,40.83979143,-73.90515859,"{'type': 'Point', 'coordinates': [-73.90515859, 40.83979143]}",10935.0,34.0,5.0,42.0,25.0,10457,53,CSL WEBSTER AVE & CLAREMONT PWAY,SYNTHETIC_CSL,WEBSTER AVE & CLAREMONT PWAY,BRONX
X4793,ERS,E/S PARK AVE & E 182 ST,10457.0,BRONX,BX06,15.0,40.8546611,-73.89505346,"{'type': 'Point', 'coordinates': [-73.89505346, 40.8546611]}",10935.0,35.0,5.0,22.0,31.0,10457,53,CSL E/S PARK AVE & E 182 ST,SYNTHETIC_CSL,E/S PARK AVE & E 182 ST,BRONX
X2940,ERS,WASHINGTON AVE & E 175 ST,10457.0,BRONX,BX06,15.0,40.84473793,-73.89934758,"{'type': 'Point', 'coordinates': [-73.89934758, 40.84473793]}",10935.0,35.0,5.0,22.0,31.0,10457,53,CSL WASHINGTON AVE & E 175 ST,SYNTHETIC_CSL,WASHINGTON AVE & E 175 ST,BRONX
X2983,ERS,E TREMONT AVE & ANTHONY AVE,10457.0,BRONX,BX05,15.0,40.84869243,-73.90328063,"{'type': 'Point', 'coordinates': [-73.90328063, 40.84869243]}",10935.0,6.0,5.0,22.0,29.0,10457,53,CSL E TREMONT AVE & ANTHONY AVE,SYNTHETIC_CSL,E TREMONT AVE & ANTHONY AVE,BRONX
X2582,ERS,NELSON AVE & W 168 ST,10452.0,BRONX,BX04,16.0,40.83836092,-73.92491804,"{'type': 'Point', 'coordinates': [-73.92491804, 40.83836092]}",10930.0,50.0,5.0,42.0,27.0,10452,49,CSL NELSON AVE & W 168 ST,SYNTHETIC_CSL,NELSON AVE & W 168 ST,BRONX
X2532,ERS,NELSON AVE & W 166 ST,10452.0,BRONX,BX04,8.0,40.83533188,-73.92699376,"{'type': 'Point', 'coordinates': [-73.92699376, 40.83533188]}",10930.0,50.0,5.0,42.0,27.0,10452,49,CSL NELSON AVE & W 166 ST,SYNTHETIC_CSL,NELSON AVE & W 166 ST,BRONX
X2719,ERS,OGDEN AVE & W 170 ST,10452.0,BRONX,BX04,16.0,40.84149544,-73.92484861,"{'type': 'Point', 'coordinates': [-73.92484861, 40.84149544]}",10930.0,50.0,5.0,42.0,27.0,10452,49,CSL OGDEN AVE & W 170 ST,SYNTHETIC_CSL,OGDEN AVE & W 170 ST,BRONX
X2772,ERS,JEROME AVE & W 172 ST,10452.0,BRONX,BX04,16.0,40.8423349,-73.91618344,"{'type': 'Point', 'coordinates': [-73.91618344, 40.8423349]}",10930.0,50.0,5.0,29.0,27.0,10452,49,CSL JEROME AVE & W 172 ST,SYNTHETIC_CSL,JEROME AVE & W 172 ST,BRONX
X2797,ERS,E MOUNT EDEN AVE & WALTON AVE,10452.0,BRONX,BX04,14.0,40.84364162,-73.91302877,"{'type': 'Point', 'coordinates': [-73.91302877, 40.84364162]}",10930.0,50.0,5.0,29.0,27.0,10452,49,CSL E MOUNT EDEN AVE & WALTON AVE,SYNTHETIC_CSL,E MOUNT EDEN AVE & WALTON AVE,BRONX
X4762,ERS,W/S PARK AVE & E 186 ST,10458.0,BRONX,BX06,15.0,40.85790201,-73.89341592,"{'type': 'Point', 'coordinates': [-73.89341592, 40.85790201]}",10936.0,35.0,5.0,22.0,31.0,10458,49,CSL W/S PARK AVE & E 186 ST,SYNTHETIC_CSL,W/S PARK AVE & E 186 ST,BRONX
X3397,ERS,BRIGGS AVE & E 197 ST,10458.0,BRONX,BX07,15.0,40.86836792,-73.88980523,"{'type': 'Point', 'coordinates': [-73.88980523, 40.86836792]}",10936.0,24.0,5.0,22.0,34.0,10458,49,CSL BRIGGS AVE & E 197 ST,SYNTHETIC_CSL,BRIGGS AVE & E 197 ST,BRONX
X4776,ERS,CROTONA AVE & E FORDHAM RD,10458.0,BRONX,BX06,15.0,40.85728511,-73.88202608,"{'type': 'Point', 'coordinates': [-73.88202608, 40.85728511]}",10936.0,35.0,5.0,22.0,31.0,10458,49,CSL CROTONA AVE & E FORDHAM RD,SYNTHETIC_CSL,CROTONA AVE & E FORDHAM RD,BRONX
X3528,ERS,BRIGGS AVE & E MOSHOLU PWAY S,10458.0,BRONX,BX07,11.0,40.87295649,-73.88296699,"{'type': 'Point', 'coordinates': [-73.88296699, 40.87295649]}",10936.0,24.0,5.0,40.0,34.0,10458,49,CSL BRIGGS AVE & E MOSHOLU PWAY S,SYNTHETIC_CSL,BRIGGS AVE & E MOSHOLU PWAY S,BRONX
X3345,ERS,ARTHUR AVE & E 188 ST,10458.0,BRONX,BX06,15.0,40.85643383,-73.8868168,"{'type': 'Point', 'coordinates': [-73.8868168, 40.85643383]}",10936.0,35.0,5.0,22.0,31.0,10458,49,CSL ARTHUR AVE & E 188 ST,SYNTHETIC_CSL,ARTHUR AVE & E 188 ST,BRONX
B0482,ERS,FURMAN ST & MONTAGUE ST,11201.0,BROOKLYN,BK02,33.0,40.69599978,-73.99824027,"{'type': 'Point', 'coordinates': [-73.99824027, 40.69599978]}",16865.0,68.0,2.0,38.0,54.0,11201,48,CSL FURMAN ST & MONTAGUE ST,SYNTHETIC_CSL,FURMAN ST & MONTAGUE ST,BROOKLYN
B0455,ERS,COURT ST & MONTAGUE ST,11201.0,BROOKLYN,BK02,33.0,40.69373505,-73.99044693,"{'type': 'Point', 'coordinates': [-73.99044693, 40.69373505]}",16865.0,68.0,2.0,38.0,54.0,11201,48,CSL COURT ST & MONTAGUE ST,SYNTHETIC_CSL,COURT ST & MONTAGUE ST,BROOKLYN
B0433,ERS,JOHNSON ST & LAWRENCE ST,11201.0,BROOKLYN,BK02,33.0,40.69492406,-73.986169,"{'type': 'Point', 'coordinates': [-73.986169, 40.69492406]}",16865.0,68.0,2.0,38.0,54.0,11201,48,CSL JOHNSON ST & LAWRENCE ST,SYNTHETIC_CSL,JOHNSON ST & LAWRENCE ST,BROOKLYN
B0464,ERS,HENRY ST & CRANBERRY ST,11201.0,BROOKLYN,BK02,33.0,40.69939442,-73.99207483,"{'type': 'Point', 'coordinates': [-73.99207483, 40.69939442]}",16865.0,68.0,2.0,38.0,54.0,11201,48,CSL HENRY ST & CRANBERRY ST,SYNTHETIC_CSL,HENRY ST & CRANBERRY ST,BROOKLYN
B0534,ERS,COURT ST & AMITY ST,11201.0,BROOKLYN,BK06,39.0,40.68836464,-73.99300452,"{'type': 'Point', 'coordinates': [-73.99300452, 40.68836464]}",16865.0,14.0,2.0,27.0,48.0,11201,48,CSL COURT ST & AMITY ST,SYNTHETIC_CSL,COURT ST & AMITY ST,BROOKLYN
X2138,ERS,3 AVE & E 137 ST,10451.0,BRONX,BX01,8.0,40.81048605,-73.92801376,"{'type': 'Point', 'coordinates': [-73.92801376, 40.81048605]}",10929.0,49.0,5.0,35.0,23.0,10451,45,CSL 3 AVE & E 137 ST,SYNTHETIC_CSL,3 AVE & E 137 ST,BRONX
X2385,ERS,SHERIDAN AVE & E 163 ST,10451.0,BRONX,BX04,16.0,40.8280998,-73.92020144,"{'type': 'Point', 'coordinates': [-73.92020144, 40.8280998]}",10929.0,50.0,5.0,42.0,27.0,10451,45,CSL SHERIDAN AVE & E 163 ST,SYNTHETIC_CSL,SHERIDAN AVE & E 163 ST,BRONX
X2248,ERS,PARK AVE & E 151 ST,10451.0,BRONX,BX04,17.0,40.81928533,-73.92402557,"{'type': 'Point', 'coordinates': [-73.92402557, 40.81928533]}",10929.0,49.0,5.0,43.0,23.0,10451,45,CSL PARK AVE & E 151 ST,SYNTHETIC_CSL,PARK AVE & E 151 ST,BRONX
X2223,ERS,GRAND CONCOURSE & E 149 ST,10451.0,BRONX,BX04,17.0,40.81855963,-73.92731653,"{'type': 'Point', 'coordinates': [-73.92731653, 40.81855963]}",10929.0,49.0,5.0,43.0,23.0,10451,45,CSL GRAND CONCOURSE & E 149 ST,SYNTHETIC_CSL,GRAND CONCOURSE & E 149 ST,BRONX
X2272,ERS,WALTON AVE & E 153 ST,10451.0,BRONX,BX04,8.0,40.82245737,-73.92691531,"{'type': 'Point', 'coordinates': [-73.92691531, 40.82245737]}",10929.0,50.0,5.0,35.0,27.0,10451,45,CSL WALTON AVE & E 153 ST,SYNTHETIC_CSL,WALTON AVE & E 153 ST,BRONX
B2211,ERS,HOPKINSON AVE/BOYLAND ST & HEGEMAN AVE,11212.0,BROOKLYN,BK16,42.0,40.65593507,-73.91004188,"{'type': 'Point', 'coordinates': [-73.91004188, 40.65593507]}",17614.0,55.0,2.0,25.0,46.0,11212,45,CSL HOPKINSON AVE/BOYLAND ST & HEGEMAN AVE,SYNTHETIC_CSL,HOPKINSON AVE/BOYLAND ST & HEGEMAN AVE,BROOKLYN
B1662,ERS,BLAKE AVE & CHESTER ST,11212.0,BROOKLYN,BK16,41.0,40.66548902,-73.91062465,"{'type': 'Point', 'coordinates': [-73.91062465, 40.66548902]}",17614.0,55.0,2.0,17.0,46.0,11212,45,CSL BLAKE AVE & CHESTER ST,SYNTHETIC_CSL,BLAKE AVE & CHESTER ST,BROOKLYN
B1611,ERS,E NEW YORK AVE & ST MARKS AVE,11212.0,BROOKLYN,BK16,41.0,40.672948,-73.90925438,"{'type': 'Point', 'coordinates': [-73.90925438, 40.672948]}",17614.0,55.0,2.0,17.0,46.0,11212,45,CSL E NEW YORK AVE & ST MARKS AVE,SYNTHETIC_CSL,E NEW YORK AVE & ST MARKS AVE,BROOKLYN
B1696,ERS,LIVONIA AVE & SARATOGA AVE,11212.0,BROOKLYN,BK16,42.0,40.66157348,-73.91547732,"{'type': 'Point', 'coordinates': [-73.91547732, 40.66157348]}",17614.0,55.0,2.0,25.0,46.0,11212,45,CSL LIVONIA AVE & SARATOGA AVE,SYNTHETIC_CSL,LIVONIA AVE & SARATOGA AVE,BROOKLYN
B1670,ERS,BLAKE AVE 500' E OF ROCKAWAY AVE,11212.0,BROOKLYN,BK16,41.0,40.66571252,-73.9087103,"{'type': 'Point', 'coordinates': [-73.9087103, 40.66571252]}",17614.0,55.0,2.0,17.0,46.0,11212,45,CSL BLAKE AVE 500' E OF ROCKAWAY AVE,SYNTHETIC_CSL,BLAKE AVE 500' E OF ROCKAWAY AVE,BROOKLYN
M1504,ERS,5 AVE & E 128 ST,10027.0,MANHATTAN,MN10,9.0,40.80833427,-73.94086063,"{'type': 'Point', 'coordinates': [-73.94086063, 40.80833427]}",13093.0,18.0,4.0,36.0,20.0,10027,43,CSL 5 AVE & E 128 ST,SYNTHETIC_CSL,5 AVE & E 128 ST,MANHATTAN
M1521,ERS,5 AVE & E 130 ST,10027.0,MANHATTAN,MN10,9.0,40.80958142,-73.93994876,"{'type': 'Point', 'coordinates': [-73.93994876, 40.80958142]}",13093.0,18.0,4.0,36.0,20.0,10027,43,CSL 5 AVE & E 130 ST,SYNTHETIC_CSL,5 AVE & E 130 ST,MANHATTAN
M1497,ERS,W 127 ST & LENOX AVE/MALCOLM X BLVD,10027.0,MANHATTAN,MN10,9.0,40.80907023,-73.94453779,"{'type': 'Point', 'coordinates': [-73.94453779, 40.80907023]}",12424.0,18.0,4.0,36.0,18.0,10027,43,CSL W 127 ST & LENOX AVE/MALCOLM X BLVD,SYNTHETIC_CSL,W 127 ST & LENOX AVE/MALCOLM X BLVD,MANHATTAN
M1541,ERS,AMSTERDAM AVE & W 132 ST,10027.0,MANHATTAN,MN09,9.0,40.81696524,-73.95364428,"{'type': 'Point', 'coordinates': [-73.95364428, 40.81696524]}",12424.0,37.0,4.0,36.0,17.0,10027,43,CSL AMSTERDAM AVE & W 132 ST,SYNTHETIC_CSL,AMSTERDAM AVE & W 132 ST,MANHATTAN
M1570,ERS,FOOT OF WEST 135 ST,10027.0,MANHATTAN,MN09,7.0,40.82129608,-73.95821571,"{'type': 'Point', 'coordinates': [-73.95821571, 40.82129608]}",12428.0,37.0,4.0,23.0,19.0,10027,43,CSL FOOT OF WEST 135 ST,SYNTHETIC_CSL,FOOT OF WEST 135 ST,MANHATTAN
M0256,ERS,NORFOLK ST & GRAND ST,10002.0,MANHATTAN,MN03,1.0,40.7164457,-73.98836626,"{'type': 'Point', 'coordinates': [-73.98836626, 40.7164457]}",11723.0,70.0,4.0,32.0,4.0,10002,42,CSL NORFOLK ST & GRAND ST,SYNTHETIC_CSL,NORFOLK ST & GRAND ST,MANHATTAN
M0261,ERS,ELDRIDGE ST & BROOME ST,10002.0,MANHATTAN,MN03,1.0,40.71858343,-73.99174683,"{'type': 'Point', 'coordinates': [-73.99174683, 40.71858343]}",11723.0,70.0,4.0,32.0,2.0,10002,42,CSL ELDRIDGE ST & BROOME ST,SYNTHETIC_CSL,ELDRIDGE ST & BROOME ST,MANHATTAN
M0276,ERS,RIDGE ST & DELANCEY ST,10002.0,MANHATTAN,MN03,1.0,40.71741442,-73.98399542,"{'type': 'Point', 'coordinates': [-73.98399542, 40.71741442]}",11723.0,70.0,4.0,32.0,4.0,10002,42,CSL RIDGE ST & DELANCEY ST,SYNTHETIC_CSL,RIDGE ST & DELANCEY ST,MANHATTAN
M0402,ERS,CLINTON ST & STANTON ST,10002.0,MANHATTAN,MN03,1.0,40.72023424,-73.98447732,"{'type': 'Point', 'coordinates': [-73.98447732, 40.72023424]}",11723.0,70.0,4.0,50.0,4.0,10002,42,CSL CLINTON ST & STANTON ST,SYNTHETIC_CSL,CLINTON ST & STANTON ST,MANHATTAN
M0242,ERS,SOUTH ST & GOUVERNEUR SLIP,10002.0,MANHATTAN,MN03,2.0,40.7104635,-73.98302698,"{'type': 'Point', 'coordinates': [-73.98302698, 40.7104635]}",11723.0,70.0,4.0,50.0,4.0,10002,42,CSL SOUTH ST & GOUVERNEUR SLIP,SYNTHETIC_CSL,SOUTH ST & GOUVERNEUR SLIP,MANHATTAN
B3934,ERS,HERKIMER ST & JARDINE PL,11233.0,BROOKLYN,BK16,37.0,40.6772081,-73.90513693,"{'type': 'Point', 'coordinates': [-73.90513693, 40.6772081]}",13516.0,55.0,2.0,37.0,46.0,11233,42,CSL HERKIMER ST & JARDINE PL,SYNTHETIC_CSL,HERKIMER ST & JARDINE PL,BROOKLYN
B1650,ERS,SARATOGA AVE & ATLANTIC AVE,11233.0,BROOKLYN,BK16,41.0,40.67664704,-73.91646486,"{'type': 'Point', 'coordinates': [-73.91646486, 40.67664704]}",13516.0,55.0,2.0,17.0,46.0,11233,42,CSL SARATOGA AVE & ATLANTIC AVE,SYNTHETIC_CSL,SARATOGA AVE & ATLANTIC AVE,BROOKLYN
B0847,ERS,ROCKAWAY AVE & MAC DOUGAL ST,11233.0,BROOKLYN,BK16,37.0,40.68023987,-73.91122493,"{'type': 'Point', 'coordinates': [-73.91122493, 40.68023987]}",13516.0,55.0,2.0,37.0,46.0,11233,42,CSL ROCKAWAY AVE & MAC DOUGAL ST,SYNTHETIC_CSL,ROCKAWAY AVE & MAC DOUGAL ST,BROOKLYN
B1646,ERS,HOWARD AVE & ST MARKS AVE,11233.0,BROOKLYN,BK16,41.0,40.67354188,-73.91954093,"{'type': 'Point', 'coordinates': [-73.91954093, 40.67354188]}",13516.0,55.0,2.0,17.0,46.0,11233,42,CSL HOWARD AVE & ST MARKS AVE,SYNTHETIC_CSL,HOWARD AVE & ST MARKS AVE,BROOKLYN
B0869,ERS,PATCHEN AVE & DECATUR ST,11233.0,BROOKLYN,BK03,36.0,40.68230798,-73.925946,"{'type': 'Point', 'coordinates': [-73.925946, 40.68230798]}",13516.0,69.0,2.0,17.0,52.0,11233,42,CSL PATCHEN AVE & DECATUR ST,SYNTHETIC_CSL,PATCHEN AVE & DECATUR ST,BROOKLYN
X2965,ERS,JEROME AVE & MOUNT HOPE PL,10453.0,BRONX,BX05,14.0,40.8494181,-73.91112232,"{'type': 'Point', 'coordinates': [-73.91112232, 40.8494181]}",10931.0,6.0,5.0,29.0,29.0,10453,41,CSL JEROME AVE & MOUNT HOPE PL,SYNTHETIC_CSL,JEROME AVE & MOUNT HOPE PL,BRONX
X4770,ERS,DAVIDSON AVE & W 176 ST,10453.0,BRONX,BX05,14.0,40.84843248,-73.91297839,"{'type': 'Point', 'coordinates': [-73.91297839, 40.84843248]}",10931.0,6.0,5.0,29.0,29.0,10453,41,CSL DAVIDSON AVE & W 176 ST,SYNTHETIC_CSL,DAVIDSON AVE & W 176 ST,BRONX
X2923,ERS,TOWNSEND AVE & E 174 ST,10453.0,BRONX,BX04,14.0,40.84506052,-73.91308485,"{'type': 'Point', 'coordinates': [-73.91308485, 40.84506052]}",10930.0,50.0,5.0,29.0,27.0,10453,41,CSL TOWNSEND AVE & E 174 ST,SYNTHETIC_CSL,TOWNSEND AVE & E 174 ST,BRONX
X2932,ERS,GRAND AVE & W 174 ST,10453.0,BRONX,BX05,14.0,40.84727122,-73.91504409,"{'type': 'Point', 'coordinates': [-73.91504409, 40.84727122]}",10931.0,6.0,5.0,29.0,29.0,10453,41,CSL GRAND AVE & W 174 ST,SYNTHETIC_CSL,GRAND AVE & W 174 ST,BRONX
X3150,ERS,HARRISON AVE & W 180 ST,10453.0,BRONX,BX05,14.0,40.8555451,-73.90913419,"{'type': 'Point', 'coordinates': [-73.90913419, 40.8555451]}",10931.0,6.0,5.0,29.0,29.0,10453,41,CSL HARRISON AVE & W 180 ST,SYNTHETIC_CSL,HARRISON AVE & W 180 ST,BRONX
X3070,ERS,E TREMONT AVE & BX PARK AVE,10460.0,BRONX,BX06,15.0,40.83990252,-73.87561285,"{'type': 'Point', 'coordinates': [-73.87561285, 40.83990252]}",11269.0,35.0,5.0,22.0,31.0,10460,40,CSL E TREMONT AVE & BX PARK AVE,SYNTHETIC_CSL,E TREMONT AVE & BX PARK AVE,BRONX
X2974,ERS,E TREMONT AVE & SOUTHERN BLVD,10460.0,BRONX,BX06,17.0,40.84271041,-73.88565994,"{'type': 'Point', 'coordinates': [-73.88565994, 40.84271041]}",11269.0,35.0,5.0,43.0,31.0,10460,40,CSL E TREMONT AVE & SOUTHERN BLVD,SYNTHETIC_CSL,E TREMONT AVE & SOUTHERN BLVD,BRONX
